"ID","Player","Username","Pos","Age","Tm","G","MP","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS_48","OBPM","DBPM","BPM","VORP","Olympics2016","OlympicsFinalist","AllStar","HighRated"
5,"Bam Adebayo","adebaba01","C",21,"MIA",82,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3,2.4,0,1,0,1
8,"LaMarcus Aldridge","aldrila01","C",33,"SAS",81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,1.2,0.5,1.6,2.5,0,1,1,2
11,"Jarrett Allen","allenja01","C",20,"BRK",80,2096,18.5,0.632,0.079,0.489,9.6,24,16.8,7.9,1,4.5,13,15.9,4.4,3.3,7.6,0.175,-0.7,3.2,2.5,2.4,0,0,0,0
13,"Al-Farouq Aminu","aminual01","PF",28,"POR",81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6,1.4,1.2,9.7,13.7,3,2.8,5.8,0.121,0.1,0.8,0.9,1.7,0,0,0,0
20,"Carmelo Anthony","anthoca01","PF",34,"HOU",10,294,10.9,0.513,0.529,0.182,3.3,17.3,10.2,2.6,0.7,2,5.8,20.5,0.1,0.2,0.3,0.048,-3.1,-2.8,-5.9,-0.3,1,0,0,1
22,"Ryan Arcidiacono","arcidry01","PG",24,"CHI",81,1961,11.6,0.588,0.519,0.244,1.5,10.8,6.1,18.9,1.6,0.2,12,11.7,2.8,0.9,3.7,0.09,-0.1,-1,-1,0.5,0,0,0,0
23,"Trevor Ariza","arizatr01","SF",33,"TOT",69,2349,12,0.534,0.59,0.223,2.3,15.2,8.6,14.8,1.8,0.7,11.6,16.6,1.3,1.2,2.5,0.052,-0.1,-0.4,-0.5,0.9,0,0,0,0
24,"D.J. Augustin","augusdj01","PG",31,"ORL",81,2269,15.7,0.616,0.459,0.309,1.9,7.8,4.8,26.9,1.1,0.1,14.3,17.2,5,1.9,6.9,0.146,1.7,-2,-0.3,1,0,0,0,0
27,"Marvin Bagley","baglema01","PF",19,"SAC",62,1567,18.9,0.562,0.136,0.371,10.4,20.8,15.5,5.9,1,3.2,10.7,24.2,2,1.6,3.6,0.11,-1.2,-0.7,-1.8,0.1,0,0,0,0
33,"Harrison Barnes","barneha02","PF-SF",26,"TOT",77,2533,12.8,0.55,0.429,0.271,2.4,12.7,7.5,6.7,0.9,0.4,7.9,20.9,2,1.6,3.6,0.068,-0.6,-1.8,-2.3,-0.2,1,1,0,2
33,"Harrison Barnes","barneha02","PF",26,"DAL",49,1584,13.1,0.538,0.434,0.276,2.4,11.5,7,6.3,1,0.6,7.8,23.7,0.8,1.1,1.9,0.059,-0.9,-2.1,-3,-0.4,1,1,0,2
33,"Harrison Barnes","barneha02","SF",26,"SAC",28,949,12.3,0.578,0.419,0.258,2.2,14.8,8.4,7.5,0.8,0.2,8,16.3,1.1,0.5,1.7,0.084,-0.1,-1.2,-1.2,0.2,1,1,0,2
39,"Kent Bazemore","bazemke01","SG",29,"ATL",67,1643,11.9,0.507,0.434,0.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22,-0.7,1.4,0.7,0.021,-2.2,0,-2.2,-0.1,0,0,0,0
