"ID","Player","Username","From","To","Tm","Lg","WS","G","GS","MP","PER","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","ORtg","DRtg","OWS","DWS","WS_48","OBPM","DBPM","BPM","VORP","Olympics2016","OlympicsFinalist","AllStar","Pos","HighRated"
1,"LeBron James","jamesle01",2017,2018,"CLE","NBA",9.4,40,40,1666,31.3,0.247,0.419,3.6,22,12.9,40.8,2,2.4,13.6,33.5,123,108,7.4,2,0.271,9.6,3.2,12.9,6.3,0,1,1,"SF",2
2,"Kevin Durant","duranke01",2017,2019,"GSW","NBA",9,48,48,1782,26.2,0.321,0.389,1.9,18.3,10.5,20.6,1.1,2.8,10.6,30.5,122,106,6.4,2.6,0.242,5.3,1.3,6.6,3.9,1,1,1,"SF",3
3,"Stephen Curry","curryst01",2017,2019,"GSW","NBA",8.8,54,53,2002,23.8,0.552,0.304,2.8,14.9,9.1,25.6,2,0.8,12.3,29.5,120,108,6.3,2.5,0.21,6.9,0.6,7.5,4.8,0,1,1,"PG",2
4,"Kawhi Leonard","leonaka01",2017,2019,"TOT","NBA",7.7,36,36,1368,29,0.287,0.456,5.9,19.8,12.7,20.2,2.2,1.7,10.7,30.8,124,105,5.5,2.2,0.27,7.2,2.3,9.4,3.9,0,1,1,"SF",2
5,"Draymond Green","greendr01",2017,2019,"GSW","NBA",7.2,60,60,2263,16.8,0.368,0.321,5.3,23.3,14.7,27.9,2.2,3.6,21.5,16.3,113,103,2.9,4.2,0.152,0.9,5.7,6.6,4.9,1,1,0,"PF",2
6,"James Harden","hardeja01",2017,2019,"HOU","NBA",5.1,39,39,1452,24.5,0.491,0.399,2.3,14.7,8.6,36.9,2.9,1.6,14.7,36.4,110,106,3,2.1,0.169,6.3,1.7,8,3.7,0,1,1,"PG",2
7,"Kyle Lowry","lowryky01",2017,2019,"TOR","NBA",4.7,42,42,1562,16.5,0.503,0.299,1.9,11.8,6.8,29.5,1.9,0.7,15.4,19.1,117,110,3,1.6,0.144,2.9,0.7,3.6,2.2,1,1,1,"PG",3
8,"Chris Paul","paulch01",2017,2019,"TOT","NBA",4.5,33,33,1174,22.2,0.37,0.243,2.6,16.3,9.5,33.8,2.8,0.9,12.3,26.3,116,106,2.8,1.7,0.184,4.8,2.2,7,2.7,0,1,0,"PG",1
9,"Andre Iguodala","iguodan01",2017,2019,"GSW","NBA",3.8,52,27,1449,13.7,0.452,0.276,3.8,12.9,8.6,16.2,2,2.4,11.4,13.4,117,108,2,1.9,0.127,0.8,2.9,3.6,2.1,0,0,0,"SF",0
10,"Klay Thompson","thompkl01",2017,2019,"GSW","NBA",3.6,59,59,2208,12.9,0.448,0.112,1.8,9.8,6,7.9,1.3,1.1,8.6,21.4,107,111,1.5,2.1,0.078,0.3,-0.2,0.1,1.2,1,1,1,"SG",3
11,"George Hill","hillge01",2017,2019,"TOT","NBA",3.2,42,26,1233,13.7,0.375,0.331,3.3,8.2,5.7,14.4,1,1,9.3,16.2,120,112,2.2,0.9,0.124,1.2,-0.1,1.2,1,0,0,0,"PG",0
12,"P.J. Tucker","tuckepj01",2017,2019,"TOT","NBA",3.2,38,29,1246,11.8,0.653,0.2,5.3,17.5,11.4,6.2,1.4,1.7,10.1,10.7,123,109,1.8,1.4,0.123,0.4,2.5,2.9,1.5,0,0,0,"PF",0
13,"Kevin Love","loveke01",2017,2018,"CLE","NBA",3.1,39,39,1238,17.4,0.438,0.28,8.2,30.2,19.3,8.1,1.5,1.7,11.4,23.1,111,108,1.6,1.6,0.122,0,0.3,0.2,0.7,0,1,0,"PF",1
14,"Khris Middleton","middlkh01",2017,2019,"MIL","NBA",3,28,28,1021,16.4,0.389,0.238,1,15.5,8.4,19,1.4,0.4,11.5,21.7,113,107,1.6,1.4,0.142,2.1,0.3,2.4,1.1,0,1,1,"SF",2
15,"Kevon Looney","looneke01",2018,2019,"GSW","NBA",2.7,42,6,819,14.5,0.012,0.303,11.8,13.2,12.6,6.6,1.6,2.2,10.1,11.2,131,109,1.8,0.9,0.157,0.8,2.4,3.1,1.1,0,0,0,"C",0
16,"Terry Rozier","roziete01",2017,2019,"BOS","NBA",2.7,45,19,1135,15.1,0.538,0.226,2.4,15.9,9.1,22.7,1.8,0.9,8.6,19.7,111,108,1.4,1.4,0.114,1.1,1.4,2.5,1.3,0,0,0,"PG",0
17,"Jimmy Butler","butleji01",2017,2019,"TOT","NBA",2.6,23,23,830,19.8,0.246,0.396,4.7,14.4,9.7,21.2,1.9,1.5,9.4,23.6,117,110,1.8,0.8,0.152,2.6,1.3,3.9,1.2,1,1,0,"SF-SG",2
