ID,Player,Username,Season,Age,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
1,James Harden,hardeja01,2018-19,29,HOU,NBA,15.2,78,78,2867,30.6,0.539,0.449,2.5,17.8,10,39.5,2.7,1.7,14.5,40.5,118,108,11.4,3.8,0.254,10.5,1.1,11.7,9.9
2,Giannis Antetokounmpo,antetgi01,2018-19,24,MIL,NBA,14.4,72,72,2358,30.9,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,121,99,8.9,5.5,0.292,5.7,5,10.8,7.6
3,Damian Lillard,lillada01,2018-19,28,POR,NBA,12.1,80,80,2838,23.7,0.419,0.335,2.6,11.1,7,30.6,1.5,1,10.8,29.3,121,112,9.7,2.4,0.205,6.6,-1.1,5.5,5.4
4,Paul George,georgpa01,2018-19,28,OKC,NBA,11.9,77,77,2841,23.3,0.469,0.335,3.7,19.6,11.4,17.7,2.8,1,10,29.5,116,105,7,4.9,0.201,4.7,0.7,5.5,5.3
5,Nikola Jokić,jokicni01,2018-19,23,DEN,NBA,11.8,80,80,2504,26.3,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,119,105,7.5,4.3,0.226,5.7,3.8,9.5,7.3
6,Kevin Durant,duranke01,2018-19,30,GSW,NBA,11.5,78,78,2702,24.2,0.281,0.366,1.4,17.5,9.8,26.2,1,2.6,12.3,29,121,110,8.6,2.9,0.204,4.2,0.1,4.3,4.3
7,Karl-Anthony Towns,townska01,2018-19,23,MIN,NBA,10.4,77,77,2545,26.3,0.27,0.342,10.9,29.3,20,17.2,1.3,4.2,13.7,28.9,118,108,7.2,3.2,0.197,4.8,2,6.8,5.7
8,Nikola Vučević,vucevni01,2018-19,28,ORL,NBA,10.1,80,80,2510,25.5,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3,9.9,28,115,103,5.4,4.7,0.193,3,3.4,6.4,5.3
9,Stephen Curry,curryst01,2018-19,30,GSW,NBA,9.7,69,69,2331,24.4,0.604,0.214,2.2,14.2,8.4,24.2,1.9,0.9,11.6,30.4,120,110,7.2,2.5,0.199,7.7,-1.4,6.3,4.9
10,Anthony Davis,davisan02,2018-19,25,NOP,NBA,9.5,56,56,1850,30.3,0.141,0.422,9.9,27.5,18.8,19,2.2,6,8.4,29.5,122,105,6.4,3.1,0.247,4.7,3.9,8.5,4.9
