ID,Player,Username,Season,Age,Born,Tm,Lg,WS,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP
1,Giannis Antetokounmpo,antetgi01,2018-19,24,gr,MIL,NBA,14.4,72,72,2358,30.9,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,121,99,8.9,5.5,0.292,5.7,5,10.8,7.6
2,Rudy Gobert,goberru01,2018-19,26,fr,UTA,NBA,14.4,81,80,2577,24.6,0,0.733,13.2,30.2,21.9,9.6,1.2,5.8,12.1,17.8,133,100,8.7,5.7,0.268,2,5.1,7,5.9
3,Nikola Jokić,jokicni01,2018-19,23,rs,DEN,NBA,11.8,80,80,2504,26.3,0.224,0.292,9.8,27.6,18.7,37,2.1,1.9,15.4,27.4,119,105,7.5,4.3,0.226,5.7,3.8,9.5,7.3
4,Clint Capela,capelca01,2018-19,24,ch,HOU,NBA,10.8,67,67,2249,23.8,0,0.357,14.4,27.6,20.8,7.1,1,3.9,10,18.2,133,108,7.8,3,0.23,1.3,1.6,2.9,2.8
5,Nikola Vučević,vucevni01,2018-19,28,ch,ORL,NBA,10.1,80,80,2510,25.5,0.171,0.168,9.4,31.9,20.5,21.9,1.6,3,9.9,28,115,103,5.4,4.7,0.193,3,3.4,6.4,5.3
6,Pascal Siakam,siakapa01,2018-19,24,cm,TOR,NBA,9.3,80,79,2548,18.7,0.226,0.32,5.4,17.5,11.6,14.6,1.4,1.7,12.5,20.8,120,107,5.7,3.6,0.175,2,1.4,3.4,3.5
7,Steven Adams,adamsst01,2018-19,25,nz,OKC,NBA,9.1,80,80,2669,18.5,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,120,106,5.1,4,0.163,0.6,2.1,2.7,3.2
8,Kyrie Irving,irvinky01,2018-19,26,au,BOS,NBA,9.1,67,67,2214,24.3,0.35,0.197,3.4,12.7,8.1,35,2.2,1.4,11.3,29.6,118,108,6.2,2.9,0.197,6,0.4,6.4,4.7
9,Joel Embiid,embiijo01,2018-19,24,cm,PHI,NBA,8.7,64,64,2154,26.1,0.219,0.541,8.1,34,21.4,18.4,1,4.4,13.2,33.3,114,104,4.9,3.8,0.194,2,2.1,4.1,3.3
10,Danilo Gallinari,gallida01,2018-19,30,it,LAC,NBA,8.2,68,68,2059,21,0.421,0.459,2.9,18.1,10.7,13.2,1.1,0.9,8.5,23.8,125,112,6.4,1.8,0.191,4.2,-1.2,2.9,2.6
11,Ben Simmons,simmobe01,2018-19,22,au,PHI,NBA,8.2,79,79,2700,20,0.006,0.446,6.9,20,13.7,34.2,2,1.8,19.3,22.1,114,108,4.6,3.6,0.146,1.4,2.6,4.1,4.1
12,Jusuf Nurkić,nurkiju01,2018-19,24,ba,POR,NBA,7.8,72,72,1974,23.4,0.035,0.442,13.4,26.7,20.2,17.9,1.7,4.2,14.6,24.7,116,105,4.4,3.3,0.189,1.6,3.6,5.1,3.5
13,Al Horford,horfoal01,2018-19,32,do,BOS,NBA,7.5,68,68,1973,20.2,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,18.9,122,107,4.5,2.9,0.181,2.1,2.7,4.8,3.4
14,Dwight Powell,poweldw01,2018-19,27,ca,DAL,NBA,7.5,77,22,1662,20.4,0.261,0.523,9.1,17.3,13.2,10.7,1.3,2.6,10.1,17.2,135,110,5.6,1.9,0.215,2.8,1.2,4,2.5
15,Bojan Bogdanović,bogdabo02,2018-19,29,ba,IND,NBA,6.8,81,81,2573,16.1,0.367,0.29,1.5,12.7,7.2,9.5,1.3,0,10.2,22.4,114,110,3.9,2.8,0.126,1.4,-1.4,0,1.3
