ID,Player,Username,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Álex Abrines,abrinal01,SG,25,OKC,31,588,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-2.4,-0.9,-3.4,-0.2
2,Quincy Acy,acyqu01,PF,28,PHO,10,123,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0,-0.1,-0.022,-5.7,-0.3,-5.9,-0.1
3,Jaylen Adams,adamsja01,PG,22,ATL,34,428,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1,19.7,13.5,-0.1,0.2,0.1,0.011,-3.1,-1.3,-4.4,-0.3
4,Steven Adams,adamsst01,C,25,OKC,80,2669,18.5,0.591,0.002,0.361,14.7,14.8,14.7,6.6,2,2.4,12.6,16.4,5.1,4,9.1,0.163,0.6,2.1,2.7,3.2
5,Bam Adebayo,adebaba01,C,21,MIA,82,1913,17.9,0.623,0.031,0.465,9.2,24,16.6,14.2,1.8,3,17.1,15.8,3.4,3.4,6.8,0.171,-0.6,3.6,3,2.4
6,Deng Adel,adelde01,SF,21,CLE,19,194,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0,-0.2,-0.054,-5.3,-2,-7.3,-0.3
7,DeVaughn Akoon-Purcell,akoonde01,SG,25,DEN,7,22,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0,15.5,25,-0.1,0,0,-0.051,-4.4,0.8,-3.6,0
8,LaMarcus Aldridge,aldrila01,C,33,SAS,81,2687,22.9,0.576,0.032,0.312,10.3,19.8,15.1,11.6,0.8,3.4,8.8,26.9,6.4,2.9,9.3,0.167,1.2,0.5,1.6,2.5
9,Rawle Alkins,alkinra01,SG,21,CHI,10,120,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0,15.3,19,-0.1,0,-0.1,-0.042,-4.1,-2.5,-6.5,-0.1
10,Grayson Allen,allengr01,SG,23,UTA,38,416,7.5,0.516,0.556,0.337,0.8,5.1,3,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0,0.002,-3.7,-3.1,-6.8,-0.5
11,Jarrett Allen,allenja01,C,20,BRK,80,2096,18.5,0.632,0.079,0.489,9.6,24,16.8,7.9,1,4.5,13,15.9,4.4,3.3,7.6,0.175,-0.7,3.2,2.5,2.4
12,Kadeem Allen,allenka01,SG,26,NYK,19,416,16.2,0.574,0.255,0.383,2,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1,0.111,0.5,-1.6,-1.1,0.1
13,Al-Farouq Aminu,aminual01,PF,28,POR,81,2292,13.2,0.568,0.472,0.292,5.3,22.6,14.2,6,1.4,1.2,9.7,13.7,3,2.8,5.8,0.121,0.1,0.8,0.9,1.7
14,Justin Anderson,anderju01,SF,25,ATL,48,463,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.6,-0.7,-3.2,-0.1
15,Kyle Anderson,anderky01,SF,25,MEM,43,1281,12.8,0.569,0.123,0.232,4.1,18.1,11,15,2.1,2.7,16,12.6,0.8,1.8,2.7,0.1,-2.1,3.3,1.2,1
16,Ryan Anderson,anderry01,PF,30,TOT,25,322,4.6,0.414,0.58,0.232,6.1,12.5,9.2,7.8,0.6,0.3,15.5,12,-0.3,0,-0.2,-0.035,-4.5,-2,-6.4,-0.4
16,Ryan Anderson,anderry01,PF,30,PHO,15,278,4.6,0.423,0.567,0.233,5.5,12.5,9,8.1,0.5,0.3,15.4,12.1,-0.2,0,-0.2,-0.039,-4.4,-2.1,-6.5,-0.3
16,Ryan Anderson,anderry01,PF,30,MIA,10,44,4.5,0.354,0.667,0.222,9.7,12.1,10.9,5.8,1.1,0,16.8,11.6,0,0,0,-0.009,-4.9,-0.8,-5.8,0
17,Ike Anigbogu,anigbik01,C,20,IND,3,6,-6,0,0,0,18.9,36.2,27.7,19.4,0,14.8,25,29.1,-0.1,0,-0.1,-0.48,-22.5,8.5,-14,0
18,Giannis Antetokounmpo,antetgi01,PF,24,MIL,72,2358,30.9,0.644,0.163,0.55,7.3,30,19.3,30.3,1.8,3.9,14.8,32.3,8.9,5.5,14.4,0.292,5.7,5,10.8,7.6
